y_true,y_score,subject
0.0,0.07423748,x06
0.0,0.14359537,x06
0.0,0.18287916,x06
0.0,0.2830787,x06
0.0,0.29888713,x06
0.0,0.3152069,x06
0.0,0.3062459,x06
0.0,0.29008228,x06
0.0,0.25578353,x06
0.0,0.3353718,x06
0.0,0.3778038,x06
0.0,0.18357264,x06
0.0,0.17849182,x06
0.0,0.16083299,x06
0.0,0.17902228,x06
0.0,0.16977556,x06
0.0,0.19080374,x06
0.0,0.22367305,x06
0.0,0.10442636,x06
0.0,0.17064467,x06
0.0,0.19709626,x06
0.0,0.17869186,x06
0.0,0.24180792,x06
0.0,0.1771469,x06
0.0,0.1962739,x06
0.0,0.22283697,x06
0.0,0.2224561,x06
0.0,0.17559186,x06
0.0,0.15914498,x06
0.0,0.23439763,x06
0.0,0.19531322,x06
0.0,0.21450931,x06
0.0,0.33011293,x06
0.0,0.3775872,x06
0.0,0.33535337,x06
0.0,0.31945854,x06
0.0,0.16828027,x06
0.0,0.16607334,x06
0.0,0.118360154,x06
0.0,0.26524556,x06
0.0,0.28394607,x06
0.0,0.058862288,x06
0.0,0.019253502,x06
0.0,0.005343808,x06
0.0,0.015834857,x06
0.0,0.030859621,x06
0.0,0.038839497,x06
0.0,0.021879388,x06
0.0,0.07250151,x06
0.0,0.024988662,x06
0.0,0.060580365,x06
0.0,0.03684689,x06
0.0,0.085642785,x06
0.0,0.37043485,x06
0.0,0.35096708,x06
0.0,0.35459217,x06
0.0,0.30136305,x06
0.0,0.08560762,x06
0.0,0.04500306,x06
0.0,0.05491769,x06
0.0,0.13660492,x06
0.0,0.14552973,x06
0.0,0.060762685,x06
0.0,0.06372904,x06
0.0,0.046100546,x06
0.0,0.017536493,x06
0.0,0.03441413,x06
0.0,0.022934522,x06
0.0,0.024318695,x06
0.0,0.015145039,x06
0.0,0.029766195,x06
0.0,0.009588205,x06
0.0,0.0067948783,x06
0.0,0.013941201,x06
0.0,0.0025222257,x06
0.0,0.0014389874,x06
0.0,0.0008858377,x06
0.0,0.0018147557,x06
0.0,0.0012820959,x06
0.0,0.009826274,x06
0.0,0.009299656,x06
0.0,0.07217282,x06
0.0,0.2504943,x06
0.0,0.3155631,x06
0.0,0.35584465,x06
0.0,0.44939175,x06
0.0,0.45406595,x06
0.0,0.42433676,x06
0.0,0.32847947,x06
0.0,0.07037709,x06
0.0,0.012949143,x06
0.0,0.013702952,x06
0.0,0.005678808,x06
0.0,0.009946275,x06
0.0,0.008445299,x06
0.0,0.0061521,x06
0.0,0.008272909,x06
0.0,0.017582024,x06
0.0,0.03878015,x06
0.0,0.01655949,x06
0.0,0.03487379,x06
0.0,0.22713624,x06
0.0,0.20451388,x06
0.0,0.18646356,x06
0.0,0.16713236,x06
0.0,0.14108194,x06
0.0,0.006863104,x06
0.0,0.011010845,x06
0.0,0.005307939,x06
0.0,0.010600493,x06
0.0,0.010647501,x06
0.0,0.010582474,x06
0.0,0.004208168,x06
0.0,0.004782093,x06
0.0,0.0053644534,x06
0.0,0.005574755,x06
0.0,0.013955526,x06
0.0,0.027259832,x06
0.0,0.02317307,x06
0.0,0.035814177,x06
0.0,0.25243416,x06
0.0,0.24848366,x06
0.0,0.26097932,x06
0.0,0.30502,x06
0.0,0.23611967,x06
0.0,0.011299282,x06
0.0,0.02441807,x06
0.0,0.018873604,x06
0.0,0.0082954215,x06
0.0,0.013568033,x06
0.0,0.0053526247,x06
